virus,realm,locus_tag,host,type,shape,corr,p.value
Mycobacterium phage Phlei,Duplodnaviria,AU152,bacteria,DNA,linear,0.576797194623028,2.75934410897708e-06
Daeseongdong virus 1,unclassified viruses,AT157,invertebrates,RNA,linear,0.0882524839275278,0.505254433989691
Staphylococcus phage B166,Duplodnaviria,AVU30,bacteria,DNA,linear,-0.428521332554062,0.000790783044298364
Streptococcus virus 9872,Duplodnaviria,BIZ99,bacteria,DNA,linear,-0.396785505552309,0.00200752347221744
Acinetobacter phage Loki,Duplodnaviria,FDJ62,bacteria,DNA,linear,-0.330450029222677,0.0108963483193785
Simian adenovirus 3,Varidnaviria,SAdV,vertebrates,DNA,linear,0.182407948568089,0.166359119420745
Bacillus phage BCASJ1c,Duplodnaviria,BCBBV1cgp,bacteria,DNA,linear,-0.435885447106955,0.000629229720824415
Wuhan house centipede virus 1,Riboviria,BZK01,invertebrates,RNA,linear,-0.203272939801286,0.122408476823078
Anellovirus PRA4,Anelloviridae,AVR80,vertebrates,NA,NA,-0.018468731735827,0.889404843062983
Yersinia phage PYPS50,Duplodnaviria,HOU63,bacteria,DNA,linear,0.242723553477499,0.0641731728322505
Streptomyces phage Lorelei,Duplodnaviria,KGH01,bacteria,DNA,linear,0.58989898989899,3.44859420807303e-06
Kaisodi virus,Riboviria,EXI67,invertebrates,ss-RNA,linear,-0.300584453535944,0.0210632631324531
Sclerotinia sclerotiorum megabirnavirus 1,Riboviria,ACG04,fungi,RNA,linear,-0.345645821157218,0.0076107217721398
Porcine circovirus 1,Monodnaviria,PCVgp,human:vertebrates,DNA,circular,-0.08708357685564,0.510928633137912
Mycobacterium phage Ochi17,Duplodnaviria,KNU45,bacteria,DNA,linear,0.468673290473407,0.00021416982850265
Grapevine leafroll-associated virus 10,Riboviria,GLRaV10,land plants,RNA,linear,-0.394973699590883,0.00211186915445677
Alphamesonivirus 2,Riboviria,K655,invertebrates,RNA,linear,-0.174459380479252,0.185850210964458
Rhizoctonia solani flexivirus 1,Riboviria,BC337,fungi,RNA,linear,0.349912331969608,0.00686095717761033
Milk vetch dwarf virus,Monodnaviria,NA,land plants,DNA,circular,-0.307831677381648,0.018048744013025
Milk vetch dwarf virus,Monodnaviria,NA,land plants,ss-DNA,circular,-0.307831677381648,0.018048744013025
Raphanus sativus cryptic virus 3,Riboviria,RSCV3,land plants,RNA,linear,-0.0845119812974869,0.523525760048685
Mycobacterium phage Bxb1,Duplodnaviria,Bxb1p,bacteria,DNA,linear,0.534132086499123,1.79949438215509e-05
Red clover necrotic mosaic virus,Riboviria,RCNMV,land plants,ss-RNA,linear,-0.348684979544126,0.00706968542847252
Bovine alphaherpesvirus 5,Duplodnaviria,BHV5,vertebrates,DNA,linear,0.325073056691993,0.0123240097290119
Radish leaf curl virus,Monodnaviria,RLCV,land plants,ss-DNA,circular,-0.355639976621859,0.0059568767878302
Mycobacterium phage EricB,Duplodnaviria,FGG32,bacteria,DNA,linear,0.626008182349503,2.43481891020653e-07
Corchorus yellow spot virus,Monodnaviria,CYSV,land plants,ss-DNA,linear,-0.18947983635301,0.150322016589271
Banana virus X,NA,FK832,NA,RNA,linear,-0.52365003417635,4.50062212611627e-05
Maize-associated totivirus 2,Riboviria,BBA77,land plants,RNA,linear,-0.289362945645821,0.0265741419798132
Sulfolobus spindle-shaped virus 2,Fuselloviridae,SSV2p,archaea,DNA,circular,-0.460432495616599,0.00028348949964717
Klebsiella phage KP8,Duplodnaviria,HWB55,bacteria,DNA,linear,-0.135768556399766,0.304352495331504
Circoviridae 9 LDMD-2013,NA,QS53,NA,DNA,circular,0.00660432495616599,0.960455588121806
Enterococcus phage EFP01,Duplodnaviria,HOR47,bacteria,DNA,circular,-0.359614260666277,0.00539294030869661
Mycobacterium phage Serenity,Duplodnaviria,SEA,bacteria,DNA,linear,0.601636469900643,8.39364680461993e-07
Pectobacterium phage Peat1,Duplodnaviria,AXI77,bacteria,DNA,linear,-0.16937463471654,0.199156502948916
Andrena haemorrhoa nege-like virus,Riboviria,EXL39,invertebrates,RNA,linear,-0.247282291057861,0.0592168404733662
Schefflera ringspot virus,Riboviria,KM551,land plants,DNA,linear,-0.275078972082302,0.0487441083779604
Bufavirus-3,Monodnaviria,LL81,human,DNA,linear,-0.206425153793575,0.126736687447276
Turkey parvovirus 260,Monodnaviria,D1R52,vertebrates,DNA,linear,-0.31864406779661,0.0142414837256311
Sodalis phage phiSG1,Duplodnaviria,SGPHI,bacteria,DNA,circular,-0.202337814143776,0.124165552368253
Polyscias mosaic virus,Riboviria,KM718,land plants,DNA,circular,-0.345178258328463,0.00769710353609768
Changjiang picorna-like virus 7,Riboviria,BWV94,invertebrates,RNA,linear,-0.243132670952659,0.0637151007546479
Daeseongdong virus 2,unclassified viruses,AT156,invertebrates,RNA,linear,-0.0893045002922268,0.500175615443332
Changjiang tombus-like virus 6,Riboviria,BWV72,invertebrates,RNA,linear,-0.0752776154295734,0.570011365995443
rat cytomegalovirus strain Maastricht,Duplodnaviria,RcVgp,vertebrates,DNA,linear,0.290648743424898,0.0258864533134144
Tupaia glis polyomavirus 1,Monodnaviria,EXJ19,vertebrates,DNA,circular,-0.377966101694915,0.00335527539757513
J-virus,Riboviria,Jviru,vertebrates,RNA,linear,-0.40292226767972,0.00168758291324668
Bean bushy stunt virus,Monodnaviria,L1Q61,land plants,DNA,circular,-0.349970777323203,0.0068511543132384
Thogoto thogotovirus,Riboviria,THOV,invertebrates:vertebrates,cRNA,linear,-0.143892460549386,0.27611444743357
Ferret parechovirus,Riboviria,CAU88,vertebrates,RNA,linear,-0.267855055523086,0.0405709699098269
Passionfruit severe leaf distortion virus,Monodnaviria,PSLDV,land plants,DNA,circular,-0.2,0.128642555016099
Lloviu cuevavirus,Riboviria,LLOV,vertebrates,cRNA,linear,-0.39281122150789,0.00224276003060664
Whitefly-associated begomovirus 4,Monodnaviria,D1T73,land plants,DNA,circular,-0.216306253652835,0.0998547124012407
Acinetobacter phage AbKT21phiIII,Duplodnaviria,HOU98,bacteria,DNA,linear,-0.276446522501461,0.0343810052563416
Zucchini lethal chlorosis virus,Riboviria,BMR73,invertebrates:land plants,RNA,linear,-0.455932203389831,0.000329491792029472
Gyrovirus GyV8,Anelloviridae,ACV36,vertebrates,DNA,circular,-0.223144360023378,0.0893969248169895
Wuhan House Fly Virus 2,Riboviria,BJD28,invertebrates,RNA,linear,-0.362594973699591,0.0050014789652618
Parrot bornavirus 5,Riboviria,BHT42,vertebrates,RNA,linear,-0.45458796025716,0.000344500941468081
Avian orthoavulavirus 12,Riboviria,NZ93,vertebrates,RNA,linear,-0.392402104032729,0.00226832539001209
Hubei picorna-like virus 61,Riboviria,BWR94,invertebrates,RNA,linear,0.49666861484512,7.85357874657412e-05
Gordonia phage Rickmore,Duplodnaviria,HWC05,bacteria,DNA,linear,0.265867913500877,0.0421272900235024
Orgyia pseudotsugata multiple nucleopolyhedrovirus,Naldaviricetes,OpmnVgp,invertebrates,DNA,circular,0.0412624196376388,0.75577795256968
Lactobacillus phage phiadh,Duplodnaviria,phiadhp,bacteria,DNA,circular,-0.351256575102279,0.00663858434460555
Mycobacterium phage Alexphander,Duplodnaviria,I5H12,bacteria,DNA,linear,0.460490940970193,0.000282932810455625
Streptomyces phage Wollford,Duplodnaviria,HWB78,bacteria,DNA,linear,0.0794856808883694,0.54859022520679
Beihai octopus virus 1,Riboviria,BVF44,invertebrates,RNA,linear,-0.390356516656926,0.00240011010343677
Nocardia phage NBR1,Duplodnaviria,NoPhNBR1,bacteria,DNA,linear,0.517592051431911,3.5159219741822e-05
Felis catus papillomavirus 4,Monodnaviria,Q423,vertebrates,DNA,circular,-0.365283459964933,0.00467018031739247
Sparus aurata polyomavirus 1,Monodnaviria,BGM08,vertebrates,DNA,linear,-0.228287551139684,0.0821162789536137
Circovirus-like genome DCCV-4,NA,BBV92,NA,ss-DNA,circular,-0.141905318527177,0.282854113341366
Pseudomonas phage Epa14,Duplodnaviria,H6S66,bacteria,DNA,linear,0.407481005260082,0.00148043919650691
Mycoreovirus 3,Riboviria,MV3,fungi,ds-RNA,linear,-0.22635885447107,0.084789248109658
Mycoreovirus 3,Riboviria,MV3,fungi,RNA,linear,-0.22635885447107,0.084789248109658
Honeysuckle yellow vein mosaic disease associated satellite DNA beta,Tolecusatellitidae,HYVMVSDB,land plants,NA,NA,-0.246904258532166,0.110404513512463
Faba bean necrotic stunt alphasatellite 1,Alphasatellitidae,DJ32,land plants,ss-DNA,circular,-0.309700781398895,0.0230631776458038
Tomato golden vein virus,Monodnaviria,D1S73,land plants,DNA,circular,-0.341496201052016,0.00840793970828588
Lake Sarah-associated circular molecule 8,unclassified viruses,A0R77,invertebrates,ss-DNA,circular,-0.249487354750513,0.0639019850866217
Bovine astrovirus,Riboviria,GV76,vertebrates,RNA,linear,0.182992402104033,0.164987799907865
Mycobacterium phage Nala,Duplodnaviria,NALA,bacteria,DNA,linear,0.578609000584454,2.53604425490392e-06
Melochia yellow mosaic virus,Monodnaviria,ASK88,land plants,DNA,circular,-0.143074225599065,0.278876490013051
Gordonia phage Phinally,Duplodnaviria,BI045,bacteria,DNA,linear,0.439859731151374,0.000555104833292852
Wuhan Mosquito Virus 8,Riboviria,ASQ57,invertebrates,cRNA,circular,-0.402279368790181,0.00171880333543804
Zhejiang mosquito virus 1,Riboviria,B1U10,invertebrates,RNA,linear,-0.32156633547633,0.0133401251017858
Wenling crustacean virus 9,NA,BU144,NA,RNA,linear,-0.389362945645821,0.00246655939865759
Sphingomonas phage Scott,Duplodnaviria,HOT83,bacteria,DNA,circular,0.472472238457043,0.000187780459655481
Mycobacterium phage Pepe,Duplodnaviria,SEA,bacteria,DNA,linear,0.538807714786675,1.48063417927952e-05
Parvovirus YX-2010/CHN,Monodnaviria,D1R65,vertebrates,DNA,linear,-0.141087083576856,0.285660760679496
Murrumbidgee virus,Riboviria,U508,invertebrates,cRNA,linear,-0.410344827586207,0.00136232147584445
Rodent hepatovirus RMU101637Micarv2010,Riboviria,AS015,vertebrates,RNA,linear,-0.365957998444387,0.005367562944544
Beihai picorna-like virus 66,Riboviria,BVK03,invertebrates,RNA,linear,-0.318877849210988,0.0141674884857867
Lake Sarah-associated circular virus-39,unclassified viruses,A0S30,invertebrates,ss-DNA,circular,-0.283706050632133,0.0312627623376431
Porcine circovirus-like virus P1,Monodnaviria,C1189,vertebrates,DNA,circular,-0.226779422128259,0.138522819241332
Salmon isavirus,Riboviria,ISAV,vertebrates,cRNA,linear,-0.329339567504383,0.0111787938120774
Salmon isavirus,Riboviria,ISAV,vertebrates,RNA,linear,-0.329339567504383,0.0111787938120774
Jatropha mosaic India virus-[Lucknow],Monodnaviria,D1Q71,land plants,DNA,circular,-0.194506136762127,0.139646285095594
Tomato mosaic Havana virus-[Quivican],Monodnaviria,ToMHv,land plants,DNA,linear,-0.26364699006429,0.0439249216024686
Pseudomonas phage 14-1,NA,PP141,NA,DNA,linear,0.400993571011105,0.00178280684683302
Maize striate mosaic virus,Monodnaviria,EXI94,land plants,ss-DNA,circular,0.0182933956750438,0.890449926828622
Rodent Torque teno virus 7,Anelloviridae,EXK41,vertebrates,DNA,circular,-0.37358885231782,0.00408539984398241
Propionibacterium phage Solid,Duplodnaviria,SOLID,bacteria,DNA,linear,0.0247223845704267,0.852266583812062
Pacific flying fox faeces associated gemycircularvirus-7,Monodnaviria,D1R24,vertebrates,ss-DNA,circular,-0.0391583869082408,0.769880470887031
Clerodendron yellow mosaic virus,Monodnaviria,CleYMV,land plants,ss-DNA,circular,-0.312682641729983,0.0162444484598635
Fowlpox virus,Varidnaviria,FPV001,vertebrates,DNA,linear,-0.464114552893045,0.000250309854561304
Influenza D virus (D/swine/Oklahoma/1334/2011),Riboviria,C1935,vertebrates,RNA,linear,-0.441200898212803,0.000595884919522169
Francolinus leucoscepus papillomavirus 1,NA,FLPV,NA,DNA,circular,-0.26750438340152,0.0408420925512361
Quaranfil quaranjavirus,Riboviria,D1S75,invertebrates,RNA,linear,-0.274985388661601,0.0353741499445501
Squash leaf curl virus,Monodnaviria,SLCV,land plants,ss-DNA,circular,-0.296610169491525,0.0228916559176593
Invertebrate iridovirus 22,NA,IIV22,NA,DNA,circular,-0.388135593220339,0.00255091382517873
Tatenale orthohantavirus,Riboviria,KM768,vertebrates,RNA,linear,-0.428638223261251,0.000787949173256557
Beihai picorna-like virus 35,Riboviria,BVB53,invertebrates,RNA,linear,-0.197837521917008,0.132892241050659
Cyclovirus TsCyV-1 JP-NUBS-2014,NA,ADY16,NA,NA,NA,-0.361407610200252,0.00556293278444274
Bohle iridovirus,Varidnaviria,D1R28,vertebrates,DNA,linear,0.276095850379895,0.0346172065958286
Wenling toti-like virus 2,Riboviria,BWT21,invertebrates,RNA,linear,0.00385739333722969,0.976970252445844
Fiddler Crab associated circular virus,Monodnaviria,AMQ87,invertebrates,DNA,circular,-0.248898107337309,0.0621145503377515
Aeromonas phage phiA8-29,Duplodnaviria,HWB15,bacteria,DNA,circular,0.0447691408533022,0.735739464424135
Alternaria brassicicola betaendornavirus 1,Riboviria,SP86,fungi,RNA,linear,-0.355230859146698,0.00601778071938674
Peach rosette mosaic virus,Riboviria,B5P31,land plants,RNA,linear,-0.339567504383402,0.00880272314218889
Mycobacterium phage AlishaPH,Duplodnaviria,I5G91,bacteria,DNA,linear,0.496376388077148,7.93957057018331e-05
Bat polyomavirus 6d,Monodnaviria,WX15,vertebrates,DNA,circular,-0.523399014778325,3.86104189174463e-05
Tomato mottle leaf curl virus,Monodnaviria,BTA33,land plants,DNA,circular,-0.205786090005845,0.117780654765828
Listeria phage P70,Duplodnaviria,P70,bacteria,DNA,linear,-0.379602571595558,0.00321225126593909
Aguacate virus,NA,AGUV,NA,RNA,linear,-0.412857977790766,0.00126574265917627
Mycobacterium phage KiSi,Duplodnaviria,I5G98,bacteria,DNA,linear,0.482174167153711,0.000152847040406951
Vibrio phage 1.261.O. 10N.286.51.A7,NA,HOU80,NA,NA,NA,-0.230976037405026,0.0785025035268018
European bat 1 lyssavirus,Riboviria,EBLV1,vertebrates,cRNA,linear,-0.31677381648159,0.0148455545393104
Polygala garcinii associated virus,Monodnaviria,C5Y55,land plants,ss-DNA,circular,-0.257159555815313,0.0495423084614975
Changjiang picorna-like virus 4,Riboviria,BWV97,invertebrates,RNA,linear,-0.357042665108124,0.00575216886316746
Proteus phage PM2,Duplodnaviria,KNT71,bacteria,DNA,linear,-0.326943308007013,0.0118100454949232
Blackcurrant reversion virus satellite RNA,NA,SRoBrvgp1,NA,RNA,linear,-0.125014611338399,0.344523560880052
Tsukamurella phage TIN3,Duplodnaviria,AVT54,bacteria,DNA,linear,0.601811805961426,8.32133245244869e-07
Vibrio phage nt-1,Duplodnaviria,VPFG,bacteria,DNA,linear,-0.239567504383402,0.0677970577016675
Mycobacterium phage Twister,Duplodnaviria,FDI09,bacteria,DNA,linear,0.61198129748685,5.00739709099909e-07
Meles meles polyomavirus 1,Monodnaviria,UF60,vertebrates,DNA,circular,-0.463362952836637,0.000374432068297968
Hubei earwig virus 3,Riboviria,BVA90,invertebrates,RNA,linear,-0.338457042665108,0.00903729740555391
Lactobacillus phage PL-1,Duplodnaviria,PL1,bacteria,DNA,linear,-0.302980713033314,0.0200222201974445
Bat polyomavirus,Monodnaviria,EXJ53,vertebrates,DNA,circular,-0.168230336214587,0.206261494852226
Enterococus phage vipetofem,Duplodnaviria,KNU92,bacteria,DNA,linear,-0.354003506721216,0.00620379855071093
Phytomonas serpens narnavirus 1,NA,A9286,NA,RNA,linear,-0.273816481589714,0.0361858245626738
Punta Toro virus,Riboviria,AB458,human:invertebrates:vertebrates,RNA,linear,-0.37989479836353,0.00318729098344477
Pectobacterium phage Gaspode,Duplodnaviria,HOU11,bacteria,DNA,linear,-0.158445353594389,0.230035165301696
Dragonfly larvae associated circular virus-7,unclassified viruses,BA84,invertebrates,ss-DNA,circular,0.293881254861291,0.0268612141355409
Ageratum yellow vein India alphasatellite,Alphasatellitidae,F493,land plants,DNA,circular,-0.500341763499658,0.000106612882337947
Ceratobasidium endornavirus B,Riboviria,BKP47,fungi,RNA,linear,-0.508533021624781,5.00841443928801e-05
Arthrobacter phage Martha,Duplodnaviria,FDH49,bacteria,DNA,linear,0.33489187609585,0.00982772055942842
Mycobacterium phage Dante,Duplodnaviria,SEA,bacteria,DNA,linear,0.464815897136178,0.0002444086792177
Sewage-associated gemycircularvirus 9,NA,SP95,NA,DNA,circular,-0.195558153126826,0.137486039242252
Potato latent virus,Riboviria,PoLV,land plants,RNA,linear,-0.421683226183519,0.000973571998062796
Beluga whale alphaherpesvirus 1,Duplodnaviria,KM510,vertebrates,DNA,linear,0.384921098772648,0.00278419963486199
Bacillus phage Moonbeam,Duplodnaviria,CPT,bacteria,DNA,linear,-0.349210987726476,0.0069795569381558
Mycobacterium phage LinStu,Duplodnaviria,LINSTU,bacteria,DNA,linear,0.636119228521333,1.42283005369395e-07
Lactococcus phage ASCC532,Duplodnaviria,LLAPH,bacteria,DNA,linear,-0.394447691408533,0.00214306074509041
Pseudomonas phage PAK P3,NA,PAK,NA,NA,NA,0.446814728229106,0.000444242253571567
uncultured phage MedDCM-OCT-S30-C28,NA,HOQ52,NA,NA,NA,-0.362419637638808,0.00502379028326601
Escherichia phage PTXU04,Duplodnaviria,HOV50,bacteria,DNA,linear,0.303565166569258,0.0197750834930263
Tupaia hepatovirus A,Riboviria,AVT85,vertebrates,RNA,linear,-0.361952074810053,0.00508371811716032
HCBI9.212 virus,NA,JM54,NA,DNA,circular,-0.0938047925189948,0.478752822281529
Staphylococcus phage StauST398-1,Duplodnaviria,StauST398,bacteria,DNA,linear,-0.423378141437756,0.000925012109805702
Jembrana disease virus,Riboviria,Jdvgp,vertebrates,ss-RNA,linear,-0.512974868497954,4.21550098777776e-05
Rosellinia necatrix partitivirus 8,Riboviria,C1184,fungi,RNA,linear,0.397523982369717,0.0023637364067704
Antheraea pernyi nucleopolyhedrovirus,Naldaviricetes,APNV,invertebrates,DNA,circular,-0.0032729398012858,0.980485495179856
Umatilla virus,Riboviria,IX42,invertebrates:vertebrates,ds-RNA,linear,-0.574459380479252,3.07501646591762e-06
Pectobacterium phage Lelidair,Duplodnaviria,HOU13,bacteria,DNA,linear,-0.179544126241964,0.173200134071077
Little cherry virus 2,Riboviria,LChV,land plants,ss-RNA,linear,-0.442255990648743,0.000514345976677924
Klebsiella phage KP27,Duplodnaviria,KP27,bacteria,DNA,linear,-0.207481005260082,0.114736321912715
Abutilon golden mosaic Yucatan virus,Monodnaviria,D1Q61,land plants,DNA,circular,-0.132203389830508,0.317317806213049
Dickeya phage Mysterion,Duplodnaviria,HOU15,bacteria,DNA,linear,0.158679135008767,0.22934158549624
Gordonia phage Apricot,Duplodnaviria,HOT72,bacteria,DNA,linear,0.516189362945646,3.71612597753356e-05
Fort Morgan virus,Riboviria,FoMoV,invertebrates:vertebrates,ss-RNA,linear,-0.44926943308007,0.000410214480557304
Erwinia phage pEa SNUABM 22,NA,MPK63,NA,NA,NA,0.188135593220339,0.153277895292687
Ralstonia phage RSB2,Duplodnaviria,CJ97,bacteria,DNA,linear,0.552308591466978,9.97433436559323e-06
Sweet potato badnavirus B,Riboviria,SPBVb,land plants,DNA,linear,-0.349678550555231,0.00690029205514782
Flavobacterium phage vB FspP elemoC 14-1A,NA,M1M21,NA,NA,NA,-0.390531852717709,0.0023885515494744
Hubei tick virus 3,Riboviria,BWS14,invertebrates,RNA,linear,-0.420981881940386,0.000994331988107643
Human associated gemyvongvirus 1,Monodnaviria,ATE41,human,DNA,linear,-0.155932203389831,0.237583551622982
Sichuan takin enterovirus,Riboviria,DP165,vertebrates,RNA,linear,-0.267329047340736,0.040978216737954
Mycobacterium phage OwlsT2W,Duplodnaviria,I5H75,bacteria,DNA,linear,0.463705435417884,0.000253812210882836
Mycobacterium phage Hawkeye,Duplodnaviria,GJ25,bacteria,DNA,linear,0.563004091174752,5.17964115933631e-06
Sewage-associated circular DNA virus-31,NA,TO80,NA,ss-DNA,circular,-0.233664523670368,0.0750166577403661
Escherichia phage vB EcoP PhAPEC7,NA,LD35,NA,NA,NA,-0.15260081823495,0.247851354585283
Mamastrovirus 3,Riboviria,NZ97,human:vertebrates,ss-RNA,linear,-0.192460549386324,0.143919890550629
Pepper huasteco yellow vein virus,Monodnaviria,Phyvv,land plants,DNA,circular,-0.428638223261251,0.000787949173256557
Pepper huasteco yellow vein virus,Monodnaviria,Phyvv,land plants,ss-DNA,circular,-0.428638223261251,0.000787949173256557
Fusarium graminearum deltaflexivirus 1,Riboviria,BC340,fungi,RNA,linear,0.339216832261835,0.00887621737146867
Hubei endorna-like virus 1,Riboviria,BWW02,invertebrates,RNA,linear,-0.499649327878434,7.02429266226853e-05
